Name,Hours_Studied,Final_Score,Previous_Score,Attendance
STU_065,3.5,59.4,53,84
STU_066,5.9,79.4,72,85
STU_067,2.3,47.3,46,81
STU_068,8.2,91.4,85,92
STU_069,1.7,45.9,37,76
STU_070,9.9,95.4,90,94
STU_071,8,87.1,85,92
STU_072,2.8,50.2,42,77
STU_073,1,41.4,36,77
STU_074,8.3,83.5,76,89
STU_075,7.4,93.7,91,95
STU_076,7.6,85.3,80,91
STU_077,7.9,83.5,76,86
STU_078,1.7,49.6,43,78
STU_079,4.2,63.5,60,85
STU_080,2,49.3,46,79
STU_081,8.8,95.6,95,92
STU_082,6.6,82.7,77,89
STU_083,4,60.1,52,81
STU_084,1.6,45,43,74
STU_085,3.8,60.2,56,85
STU_086,3.9,50.7,48,81
STU_087,7.6,77.5,68,88
STU_088,6.7,86.4,79,87
STU_089,,100,97,97
STU_090,5.2,69,67,87
STU_091,2.1,53.9,48,84
STU_092,7.4,85.4,83,87
STU_093,7.8,100,98,93
STU_094,6.1,81.4,75,89
STU_095,7.9,86.3,85,88
STU_096,5.4,66.7,60,88
STU_097,5.7,65.3,58,83
STU_098,4.8,68.8,66,84
STU_099,1.2,41.7,38,77
STU_100,2,43.3,35,74
STU_101,1.3,42.8,41,75
STU_102,6.7,74.1,66,85
STU_103,3.8,70,68,83
STU_104,5.6,77.1,,87
STU_105,9.2,95,93,94
STU_106,3.2,65.2,63,86
STU_107,4.7,67.5,66,
STU_108,7.8,82.1,78,87
STU_109,3.1,64.8,60,85
STU_110,1.7,51.2,48,76
STU_111,3.6,55.1,48,78
STU_112,2.5,52.5,50,84
STU_113,9.4,91.9,88,92
STU_114,8.3,82.5,78,90
STU_115,6.7,84.2,79,93
STU_116,8.8,100,96,96
STU_117,8.2,81.8,73,92
STU_118,2.7,57.6,50,85
STU_119,9,90.5,84,93
STU_120,5.9,72.1,64,89
STU_121,8.3,86.5,80,88
STU_122,9.1,90.1,87,95
STU_123,3.9,62.4,58,83
STU_124,2,46.2,41,77
STU_125,3.1,58.6,57,80
STU_126,4.8,67.5,64,82
STU_127,8.4,88.9,80,89
STU_128,8.7,87.4,84,87
STU_129,1.1,41.9,38,76
STU_130,5.6,76.5,72,87
STU_131,4.8,70.3,66,90
STU_132,3,51.7,47,82
STU_133,2.1,51.5,42,82
STU_134,4,66.6,63,86
STU_135,9.5,88.6,87,95
STU_136,3.9,64.9,58,87
STU_137,5.7,70,66,90
STU_138,7.3,86.1,77,94
STU_139,4.3,60.8,55,85
STU_140,9.7,89.1,83,92
STU_141,9.7,90,89,89
STU_142,3.3,58.7,51,80
STU_143,5.5,73.4,66,91
STU_144,3.7,56.4,50,82
STU_145,3.6,63.5,62,87
STU_146,1.3,37.8,,
STU_147,6.5,78,69,84
STU_148,5.5,66,59,88
STU_149,1.5,44,42,76
STU_150,3.5,59.9,51,85
STU_151,9.2,90.7,89,92
STU_152,3.2,55.9,49,83
STU_153,2.3,57.3,56,82
STU_154,5.4,68.6,62,89
STU_155,9.9,100,94,99
STU_156,3.2,52.2,48,83
STU_157,7,84,76,89
STU_158,7.9,94.2,90,94
STU_159,3.1,44.9,40,75
STU_160,7.6,81.1,79,88
STU_161,4.3,67.5,66,87
STU_162,6.7,78.5,74,88
STU_163,6.7,81.4,75,93
STU_164,5.8,70.9,65,86
STU_165,1.8,49.6,44,83
STU_166,8.5,89.9,88,95
STU_167,3.9,68,61,83
STU_168,2.7,56,48,83
STU_169,1.4,48.4,42,84
STU_170,6.3,75,66,90
STU_171,7.1,79.6,71,89
STU_172,1.1,42.7,34,78
STU_173,5.6,74.7,72,90
STU_174,3,54.5,52,81
STU_175,6.8,81.6,79,89
STU_176,2.6,64.5,60,86
STU_177,7.2,87,84,95
STU_178,4.5,64.3,56,86
STU_179,9.4,100,99,95
STU_180,2.2,49.6,45,77
STU_181,4.1,53.2,52,79
STU_182,2,45.4,37,83
STU_183,9.3,86.3,81,94
STU_184,8.9,91.4,88,90
STU_185,3.3,58.6,54,82
STU_186,6.9,89.2,84,93
STU_187,8.4,91.7,84,94
STU_188,6,74.1,68,86
STU_189,5.8,78.1,71,90
STU_190,3.2,46.8,40,77
STU_191,1.8,50.3,47,84
STU_192,9.1,98.3,94,98
STU_193,9.1,87,83,89
STU_194,6.7,85.3,79,93
STU_195,4.1,65.1,,85
STU_196,4.1,61.3,52,81
STU_197,7.5,87.7,82,92
STU_198,9.1,100,92,
STU_199,9,94.7,89,93
STU_200,8,88.8,88,94
STU_201,6.8,77.9,72,92
STU_202,1.8,44.9,44,77
STU_203,2.5,57.7,53,81
STU_204,9.1,90.1,87,96
STU_205,6.5,78.7,74,92
STU_206,1.1,42.4,35,82
STU_207,1.9,52.2,49,83
STU_208,7,83.1,82,88
STU_209,1,49.4,42,81
STU_210,2.4,50.3,48,82
STU_211,5.9,73.2,66,86
STU_212,7.2,77.7,75,85
STU_213,6.9,78.6,77,91
STU_214,3,58.5,54,80
STU_215,7.4,87.7,85,95
STU_216,3.1,52.6,46,83
STU_217,3.9,66.5,58,88
STU_218,7.7,92.5,84,97
STU_219,6.8,82.2,77,94
STU_220,8.6,100,99,95
STU_221,6.9,76.9,69,87
STU_222,6.1,69.6,65,84
STU_223,1.8,40.3,37,79
STU_224,4.3,72.1,64,85
STU_225,3.4,62.4,59,86
STU_226,3.2,57.6,51,82
STU_227,9.8,100,98,93
STU_228,4.5,60.3,56,84
STU_229,9,100,95,92
STU_230,6.7,80.2,72,93
STU_231,8.2,89.4,84,90
STU_232,5.5,75.7,74,90
STU_233,6.2,78.8,70,90
STU_234,5.4,72.6,70,90
STU_235,2.8,51.4,46,82
STU_236,7.5,86.9,84,93
STU_237,3.5,69.1,65,86
STU_238,1.2,52.2,46,80
STU_239,6.8,88.1,81,87
STU_240,2.6,51.6,48,84
STU_241,9.5,92,84,93
STU_242,9.6,96.9,93,95
STU_243,9.2,95.3,86,98
STU_244,4.3,70.1,66,86
STU_245,1.1,36.4,32,72
STU_246,9.4,100,91,97
STU_247,4.9,67.6,65,82
STU_248,9.7,96,90,96
STU_249,9.7,93.1,91,95
STU_250,8.7,83.7,75,91
STU_251,3.7,65.1,57,84
STU_252,4.5,66.3,61,85
STU_253,8.7,85.5,78,88
STU_254,3.9,55.7,49,86
STU_255,2.5,51.8,48,79
STU_256,6,83.5,76,90
STU_257,9.4,95,92,90
STU_258,7.3,75.7,67,88
STU_259,6.1,74.6,67,91
STU_260,1.9,48.4,44,84
STU_261,6.5,64.8,,85
STU_262,9.9,99.1,91,99
STU_263,2.3,51.1,44,
STU_264,5.7,76.8,76,89
STU_265,8.9,100,99,98
STU_266,7.7,91.4,87,91
STU_267,7.3,81.9,77,90
STU_268,7.3,77.7,72,85
STU_269,4.2,76.9,73,88
STU_270,3.6,60.6,57,79
STU_271,8.3,89.5,82,95
STU_272,8.3,89.3,80,90
STU_273,8.8,93.6,86,91
STU_274,9.2,94.3,93,89
STU_275,5.6,69.9,64,82
STU_276,5.5,69.4,64,89
STU_277,8.2,88.7,84,91
STU_278,6.8,77.4,75,86
STU_279,7.3,79.7,71,93
STU_280,8.2,89.4,80,89
STU_281,9,92.5,86,89
STU_282,4,70.3,65,86
STU_283,4.4,52,49,77
STU_284,1.8,54.6,50,82
STU_285,6.2,82.7,77,87
STU_286,1.3,35.7,35,72
STU_287,5.2,68.5,60,90
STU_288,5.9,72.7,69,84
STU_289,3.6,53.3,48,81
STU_290,6.3,73.2,68,91
STU_291,1.3,40.5,38,81
STU_292,1.3,54.8,48,82
STU_293,8.4,94.8,94,96
STU_294,4.2,70.4,63,90
STU_295,2.1,54.6,50,83
STU_296,5.7,67.7,63,82
STU_297,7.9,84.4,82,88
STU_298,2.9,58.4,52,86
STU_299,6.6,72.8,66,91
STU_300,1.8,52.7,44,78
STU_301,1.5,46.1,40,82
STU_302,5.8,72.1,70,88
STU_303,5.9,78.1,69,86
STU_304,6.7,81.8,81,93
STU_305,7.5,82.7,78,86
STU_306,9.8,100,92,92
STU_307,5.6,67.3,60,87
STU_308,3.9,65.3,60,81
STU_309,8.2,91.8,85,96
STU_310,3.4,57.5,48,83
STU_311,5,70.6,67,87
STU_312,1.7,42.3,39,78
STU_313,1.2,50.1,42,79
STU_314,9.7,97.2,90,94
STU_315,8.5,88.1,81,95
STU_316,7.3,88.5,84,94
STU_317,4.7,63.6,61,87
STU_318,2.6,47.1,44,82
STU_319,2.4,45.1,44,82
STU_320,3.3,61.5,,84
STU_321,5.9,68.2,61,88
STU_322,7.4,92.7,84,
STU_323,6.9,70.4,66,85
STU_324,3.5,68.2,67,89
STU_325,9.6,98.6,98,92
STU_326,7.6,84.6,78,94
STU_327,6,72.5,66,83
STU_328,6.5,80.3,71,88
STU_329,4.8,67.6,60,87
STU_330,3.2,63.4,58,82
STU_331,4.2,64.6,60,81
STU_332,7.8,87.1,81,94
STU_333,1.1,43,36,82
STU_334,2,50.1,48,78
STU_335,1.4,48.2,43,77
STU_336,1.4,38.1,36,79
STU_337,8.7,85.2,84,93
STU_338,7.3,87,80,88
STU_339,5.3,71.7,64,84
STU_340,1.9,48.9,48,77
STU_341,5.4,71.6,68,82
STU_342,5.3,72.6,66,86
STU_343,2.6,51.4,47,84
STU_344,4.9,64.5,60,83
STU_345,4.6,67.5,66,82
STU_346,6.5,73.4,66,83
STU_347,6.7,81.6,81,91
STU_348,1.4,38.2,37,80
STU_349,4.4,70.4,62,83
STU_350,6.6,81.3,73,87
STU_351,5.5,73.4,68,85
STU_352,8.7,96.9,88,91
STU_353,6.9,89.1,82,89
STU_354,2.5,58.6,53,81
STU_355,1.6,38.7,38,76
STU_356,6.8,73.8,73,83
STU_357,1.2,42.3,34,81
STU_358,6.3,77.2,76,89
STU_359,9.5,99.5,90,97
STU_360,6.2,72.8,70,90
STU_361,4.5,66.8,65,81
STU_362,6.8,76.4,75,90
STU_363,5.1,66.6,60,82
STU_364,5.9,67.5,66,84
STU_365,9.5,92.3,84,97
STU_366,4.5,59.1,54,86
STU_367,9.7,93.3,88,97
STU_368,9.1,99.7,93,94
STU_369,2.8,50.6,42,81
STU_370,1.6,61.1,58,79
STU_371,1.9,52.2,46,80
STU_372,1.2,46.4,42,78
STU_373,1.8,44.9,39,81
STU_374,7.1,85.5,80,88
STU_375,1.6,45,43,76
STU_376,3.9,62.8,54,81
STU_377,8.6,100,97,94
STU_378,1.2,45,42,76
STU_379,8.3,95.2,89,94
STU_380,3.5,56.2,49,80
STU_381,2.1,50.8,42,80
STU_382,7.3,92.1,91,91
STU_383,6.7,76.4,75,92
STU_384,8.9,100,93,96
STU_385,7.6,88.7,80,91
STU_386,8.2,86,78,95
STU_387,3.5,62.9,54,83
STU_388,2.6,59,57,84
STU_389,7.8,89.5,88,95
STU_390,8.3,81.6,74,92
STU_391,9.9,95.7,93,97
STU_392,4.7,65.9,58,89
STU_393,4.3,64.3,58,81
STU_394,8,90.7,87,92
STU_395,4.1,64.3,61,87
STU_396,9.4,89.6,88,88
STU_397,8.7,93.8,85,95
STU_398,4.9,71.4,63,82
STU_399,7.8,89.2,82,95
STU_400,7.8,91.8,85,96
STU_401,1.9,53.9,53,83
STU_402,9.1,96.7,94,95
STU_403,5.5,71.7,65,86
STU_404,8.4,81.8,81,90
STU_405,3.9,64.3,59,86
STU_406,9.1,95.5,90,96
STU_407,4.5,67.3,61,81
STU_408,1.1,38.4,30,73
STU_409,9.1,89,88,96
STU_410,1.8,54.4,45,84
STU_411,3.9,62,54,83
STU_412,9.6,100,93,97
STU_413,9.6,97.7,91,92
STU_414,6.2,76.6,69,88
STU_415,6.7,84.2,75,90
STU_416,5,66.4,63,87
STU_417,3.6,60.8,60,84
STU_418,4,60.5,52,84
STU_419,7.1,79.8,73,91
STU_420,7.8,84.8,80,90
STU_421,8.1,89.3,88,88
STU_422,8.1,85.8,83,91
STU_423,1.8,55.4,52,79
STU_424,5.4,67,63,81
STU_425,1.5,46.4,40,76
STU_426,5.9,72.4,64,88
STU_427,5,76.2,74,90
STU_428,9,94.8,93,97
STU_429,4.2,69.2,60,84
STU_430,2.1,43.6,41,77
STU_431,2.3,53.6,45,79
STU_432,7.9,91.4,88,89
STU_433,6.6,79.3,77,85
STU_434,1.9,55.1,47,83
STU_435,1.8,46.6,41,80
STU_436,7.3,90.3,82,91
STU_437,1.7,60,56,81
STU_438,8.4,88.3,,88
STU_439,7.4,81.7,73,
STU_440,1.7,55.8,50,82
STU_441,1.8,57.1,56,84
STU_442,9.9,96.8,90,91
STU_443,4.4,63.2,55,87
STU_444,4.3,63.3,58,87
STU_445,8.3,82.7,78,86
STU_446,9.5,92.3,88,93
STU_447,9.9,94.4,87,92
STU_448,7.8,82.5,82,92
STU_449,4.4,65.1,60,89
STU_450,1.8,50.3,43,77
STU_451,8,95.4,94,90
STU_452,6,70.2,69,82
STU_453,4.8,72.7,68,84
STU_454,9.2,94,85,96
STU_455,2,50.2,46,79
STU_456,5.4,74.9,70,86
STU_457,1.1,39.2,31,75
STU_458,5.2,72.2,68,89
STU_459,1.5,48.1,46,83
STU_460,2.1,53.5,44,77
STU_461,2.1,52.5,50,79
STU_462,6.8,92.4,84,91
STU_463,7.7,82.6,80,88
STU_464,6.3,74.4,68,91
STU_465,9.7,95,86,92
STU_466,4.4,62.5,62,81
STU_467,3.6,57.1,49,81
STU_468,8.8,98.5,94,95
STU_469,3,63.7,56,82
STU_470,9.7,95.3,94,92
STU_471,1.1,40.7,38,76
STU_472,9.7,100,98,93
STU_473,1.4,43.9,38,77
STU_474,9,97,92,90
STU_475,5.7,74.4,70,91
STU_476,9.9,91.8,90,95
STU_477,1.7,56.3,54,86
STU_478,6,84.2,75,86
STU_479,9.7,95.1,91,90
STU_480,5.7,71.4,62,85
STU_481,6.7,81,74,89
STU_482,7.3,84.9,83,90
STU_483,5.1,72.9,66,88
STU_484,6.6,89,87,96
STU_485,6.3,76.2,71,92
STU_486,9.1,90.4,83,95
STU_487,1.4,39.8,34,77
STU_488,3.5,56,51,82
STU_489,9.6,97.4,94,97
STU_490,9,100,96,98
STU_491,5.1,67,66,89
STU_492,6.6,80,78,88
STU_493,3.5,59.6,57,86
STU_494,2.7,60.7,57,79
STU_495,5.2,82.9,76,
STU_496,4.2,61.4,55,80
STU_497,6.3,74.6,67,83
STU_498,1.7,53.8,,77
STU_499,9.8,100,99,91
STU_500,9.9,100,94,93
STU_021,6.5,73,65,88
STU_151,9.2,90.7,87,92
