Name,Attendance,Previous_Score,Hours_Studied,Final_Score
STU_083,81.00,52.00,4.00,60.10
STU_084,74.00,43.00,1.60,45.00
STU_085,85.00,56.00,3.80,60.20
STU_086,81.00,48.00,3.90,50.70
STU_087,88.00,68.00,7.60,77.50
STU_088,87.00,79.00,6.70,86.40
STU_089,97.00,97.00,5.48,100.00
STU_090,87.00,67.00,5.20,69.00
STU_091,84.00,48.00,2.10,53.90
STU_092,87.00,83.00,7.40,85.40
STU_093,93.00,98.00,7.80,100.00
STU_094,89.00,75.00,6.10,81.40
STU_095,88.00,85.00,7.90,86.30
STU_096,88.00,60.00,5.40,66.70
STU_097,83.00,58.00,5.70,65.30
STU_098,84.00,66.00,4.80,68.80
STU_099,77.00,38.00,1.20,41.70
STU_100,74.00,35.00,2.00,43.30
STU_101,75.00,41.00,1.30,42.80
STU_102,85.00,66.00,6.70,74.10
STU_103,83.00,68.00,3.80,70.00
STU_104,87.00,66.99,5.60,77.10
STU_105,94.00,93.00,9.20,95.00
STU_106,86.00,63.00,3.20,65.20
STU_107,86.69,66.00,4.70,67.50
STU_108,87.00,78.00,7.80,82.10
STU_109,85.00,60.00,3.10,64.80
STU_110,76.00,48.00,1.70,51.20
STU_111,78.00,48.00,3.60,55.10
STU_112,84.00,50.00,2.50,52.50
STU_113,92.00,88.00,9.40,91.90
STU_114,90.00,78.00,8.30,82.50
STU_115,93.00,79.00,6.70,84.20
STU_116,96.00,96.00,8.80,100.00
STU_117,92.00,73.00,8.20,81.80
STU_118,85.00,50.00,2.70,57.60
STU_119,93.00,84.00,9.00,90.50
STU_120,89.00,64.00,5.90,72.10
STU_121,88.00,80.00,8.30,86.50
STU_122,95.00,87.00,9.10,90.10
STU_123,83.00,58.00,3.90,62.40
STU_124,77.00,41.00,2.00,46.20
STU_125,80.00,57.00,3.10,58.60
STU_126,82.00,64.00,4.80,67.50
STU_127,89.00,80.00,8.40,88.90
STU_128,87.00,84.00,8.70,87.40
STU_129,76.00,38.00,1.10,41.90
STU_130,87.00,72.00,5.60,76.50
STU_131,90.00,66.00,4.80,70.30
STU_132,82.00,47.00,3.00,51.70
STU_133,82.00,42.00,2.10,51.50
STU_134,86.00,63.00,4.00,66.60
STU_135,95.00,87.00,9.50,88.60
STU_136,87.00,58.00,3.90,64.90
STU_137,90.00,66.00,5.70,70.00
STU_138,94.00,77.00,7.30,86.10
STU_139,85.00,55.00,4.30,60.80
STU_140,92.00,83.00,9.70,89.10
STU_141,89.00,89.00,9.70,90.00
STU_142,80.00,51.00,3.30,58.70
STU_143,91.00,66.00,5.50,73.40
STU_144,82.00,50.00,3.70,56.40
STU_145,87.00,62.00,3.60,63.50
STU_146,86.69,66.99,1.30,37.80
STU_147,84.00,69.00,6.50,78.00
STU_148,88.00,59.00,5.50,66.00
STU_149,76.00,42.00,1.50,44.00
STU_150,85.00,51.00,3.50,59.90
STU_151,92.00,89.00,9.20,90.70
STU_152,83.00,49.00,3.20,55.90
STU_153,82.00,56.00,2.30,57.30
STU_154,89.00,62.00,5.40,68.60
STU_155,99.00,94.00,9.90,100.00
STU_156,83.00,48.00,3.20,52.20
STU_157,89.00,76.00,7.00,84.00
STU_158,94.00,90.00,7.90,94.20
STU_159,75.00,40.00,3.10,44.90
STU_160,88.00,79.00,7.60,81.10
STU_161,87.00,66.00,4.30,67.50
STU_162,88.00,74.00,6.70,78.50
STU_163,93.00,75.00,6.70,81.40
STU_164,86.00,65.00,5.80,70.90
STU_165,83.00,44.00,1.80,49.60
STU_166,95.00,88.00,8.50,89.90
STU_167,83.00,61.00,3.90,68.00
STU_168,83.00,48.00,2.70,56.00
STU_169,84.00,42.00,1.40,48.40
STU_170,90.00,66.00,6.30,75.00
STU_171,89.00,71.00,7.10,79.60
STU_172,78.00,34.00,1.10,42.70
STU_173,90.00,72.00,5.60,74.70
STU_174,81.00,52.00,3.00,54.50
STU_175,89.00,79.00,6.80,81.60
STU_176,86.00,60.00,2.60,64.50
STU_177,95.00,84.00,7.20,87.00
STU_178,86.00,56.00,4.50,64.30
STU_179,95.00,99.00,9.40,100.00
STU_180,77.00,45.00,2.20,49.60
STU_181,79.00,52.00,4.10,53.20
STU_182,83.00,37.00,2.00,45.40
STU_183,94.00,81.00,9.30,86.30
STU_184,90.00,88.00,8.90,91.40
STU_185,82.00,54.00,3.30,58.60
STU_186,93.00,84.00,6.90,89.20
STU_187,94.00,84.00,8.40,91.70
STU_188,86.00,68.00,6.00,74.10
STU_189,90.00,71.00,5.80,78.10
STU_190,77.00,40.00,3.20,46.80
STU_191,84.00,47.00,1.80,50.30
STU_192,98.00,94.00,9.10,98.30
STU_193,89.00,83.00,9.10,87.00
STU_194,93.00,79.00,6.70,85.30
STU_195,85.00,66.99,4.10,65.10
STU_196,81.00,52.00,4.10,61.30
STU_197,92.00,82.00,7.50,87.70
STU_198,86.69,92.00,9.10,100.00
STU_199,93.00,89.00,9.00,94.70
STU_200,94.00,88.00,8.00,88.80
STU_201,92.00,72.00,6.80,77.90
STU_202,77.00,44.00,1.80,44.90
STU_203,81.00,53.00,2.50,57.70
STU_204,96.00,87.00,9.10,90.10
STU_205,92.00,74.00,6.50,78.70
STU_206,82.00,35.00,1.10,42.40
STU_207,83.00,49.00,1.90,52.20
STU_208,88.00,82.00,7.00,83.10
STU_209,81.00,42.00,1.00,49.40
STU_210,82.00,48.00,2.40,50.30
STU_211,86.00,66.00,5.90,73.20
STU_212,85.00,75.00,7.20,77.70
STU_213,91.00,77.00,6.90,78.60
STU_214,80.00,54.00,3.00,58.50
STU_215,95.00,85.00,7.40,87.70
STU_216,83.00,46.00,3.10,52.60
STU_217,88.00,58.00,3.90,66.50
STU_218,97.00,84.00,7.70,92.50
STU_219,94.00,77.00,6.80,82.20
STU_220,95.00,99.00,8.60,100.00
STU_221,87.00,69.00,6.90,76.90
STU_222,84.00,65.00,6.10,69.60
STU_223,79.00,37.00,1.80,40.30
STU_224,85.00,64.00,4.30,72.10
STU_225,86.00,59.00,3.40,62.40
STU_226,82.00,51.00,3.20,57.60
STU_227,93.00,98.00,9.80,100.00
STU_228,84.00,56.00,4.50,60.30
STU_229,92.00,95.00,9.00,100.00
STU_230,93.00,72.00,6.70,80.20
STU_231,90.00,84.00,8.20,89.40
STU_232,90.00,74.00,5.50,75.70
STU_233,90.00,70.00,6.20,78.80
STU_234,90.00,70.00,5.40,72.60
STU_235,82.00,46.00,2.80,51.40
STU_236,93.00,84.00,7.50,86.90
STU_237,86.00,65.00,3.50,69.10
STU_238,80.00,46.00,1.20,52.20
STU_239,87.00,81.00,6.80,88.10
STU_240,84.00,48.00,2.60,51.60
STU_241,93.00,84.00,9.50,92.00
STU_242,95.00,93.00,9.60,96.90
STU_243,98.00,86.00,9.20,95.30
STU_244,86.00,66.00,4.30,70.10
STU_245,72.00,32.00,1.10,36.40
STU_246,97.00,91.00,9.40,100.00
STU_247,82.00,65.00,4.90,67.60
STU_248,96.00,90.00,9.70,96.00
STU_249,95.00,91.00,9.70,93.10
STU_250,91.00,75.00,8.70,83.70
STU_251,84.00,57.00,3.70,65.10
STU_252,85.00,61.00,4.50,66.30
STU_253,88.00,78.00,8.70,85.50
STU_254,86.00,49.00,3.90,55.70
STU_255,79.00,48.00,2.50,51.80
STU_256,90.00,76.00,6.00,83.50
STU_257,90.00,92.00,9.40,95.00
STU_258,88.00,67.00,7.30,75.70
STU_259,91.00,67.00,6.10,74.60
STU_260,84.00,44.00,1.90,48.40
STU_261,85.00,66.99,6.50,64.80
STU_262,99.00,91.00,9.90,99.10
STU_263,86.69,44.00,2.30,51.10
STU_264,89.00,76.00,5.70,76.80
STU_265,98.00,99.00,8.90,100.00
STU_266,91.00,87.00,7.70,91.40
STU_267,90.00,77.00,7.30,81.90
STU_268,85.00,72.00,7.30,77.70
STU_269,88.00,73.00,4.20,76.90
STU_270,79.00,57.00,3.60,60.60
STU_271,95.00,82.00,8.30,89.50
STU_272,90.00,80.00,8.30,89.30
STU_273,91.00,86.00,8.80,93.60
STU_274,89.00,93.00,9.20,94.30
STU_275,82.00,64.00,5.60,69.90
STU_276,89.00,64.00,5.50,69.40
STU_277,91.00,84.00,8.20,88.70
STU_278,86.00,75.00,6.80,77.40
STU_279,93.00,71.00,7.30,79.70
STU_280,89.00,80.00,8.20,89.40
STU_281,89.00,86.00,9.00,92.50
STU_282,86.00,65.00,4.00,70.30
STU_283,77.00,49.00,4.40,52.00
STU_284,82.00,50.00,1.80,54.60
STU_285,87.00,77.00,6.20,82.70
STU_286,72.00,35.00,1.30,35.70
STU_287,90.00,60.00,5.20,68.50
STU_288,84.00,69.00,5.90,72.70
STU_289,81.00,48.00,3.60,53.30
STU_290,91.00,68.00,6.30,73.20
STU_291,81.00,38.00,1.30,40.50
STU_292,82.00,48.00,1.30,54.80
STU_293,96.00,94.00,8.40,94.80
STU_294,90.00,63.00,4.20,70.40
STU_295,83.00,50.00,2.10,54.60
STU_296,82.00,63.00,5.70,67.70
STU_297,88.00,82.00,7.90,84.40
STU_298,86.00,52.00,2.90,58.40
STU_299,91.00,66.00,6.60,72.80
STU_300,78.00,44.00,1.80,52.70
STU_301,82.00,40.00,1.50,46.10
STU_302,88.00,70.00,5.80,72.10
STU_303,86.00,69.00,5.90,78.10
STU_304,93.00,81.00,6.70,81.80
STU_305,86.00,78.00,7.50,82.70
STU_306,92.00,92.00,9.80,100.00
STU_307,87.00,60.00,5.60,67.30
STU_308,81.00,60.00,3.90,65.30
STU_309,96.00,85.00,8.20,91.80
STU_310,83.00,48.00,3.40,57.50
STU_311,87.00,67.00,5.00,70.60
STU_312,78.00,39.00,1.70,42.30
STU_313,79.00,42.00,1.20,50.10
STU_314,94.00,90.00,9.70,97.20
STU_315,95.00,81.00,8.50,88.10
STU_316,94.00,84.00,7.30,88.50
STU_317,87.00,61.00,4.70,63.60
STU_318,82.00,44.00,2.60,47.10
STU_319,82.00,44.00,2.40,45.10
STU_320,84.00,66.99,3.30,61.50
STU_321,88.00,61.00,5.90,68.20
STU_322,86.69,84.00,7.40,92.70
STU_323,85.00,66.00,6.90,70.40
STU_324,89.00,67.00,3.50,68.20
STU_325,92.00,98.00,9.60,98.60
STU_326,94.00,78.00,7.60,84.60
STU_327,83.00,66.00,6.00,72.50
STU_328,88.00,71.00,6.50,80.30
STU_329,87.00,60.00,4.80,67.60
STU_330,82.00,58.00,3.20,63.40
STU_331,81.00,60.00,4.20,64.60
STU_332,94.00,81.00,7.80,87.10
STU_333,82.00,36.00,1.10,43.00
STU_334,78.00,48.00,2.00,50.10
STU_335,77.00,43.00,1.40,48.20
STU_336,79.00,36.00,1.40,38.10
STU_337,93.00,84.00,8.70,85.20
STU_338,88.00,80.00,7.30,87.00
STU_339,84.00,64.00,5.30,71.70
STU_340,77.00,48.00,1.90,48.90
STU_341,82.00,68.00,5.40,71.60
STU_342,86.00,66.00,5.30,72.60
STU_343,84.00,47.00,2.60,51.40
STU_344,83.00,60.00,4.90,64.50
STU_345,82.00,66.00,4.60,67.50
STU_346,83.00,66.00,6.50,73.40
STU_347,91.00,81.00,6.70,81.60
STU_348,80.00,37.00,1.40,38.20
STU_349,83.00,62.00,4.40,70.40
STU_350,87.00,73.00,6.60,81.30
STU_351,85.00,68.00,5.50,73.40
STU_352,91.00,88.00,8.70,96.90
STU_353,89.00,82.00,6.90,89.10
STU_354,81.00,53.00,2.50,58.60
STU_355,76.00,38.00,1.60,38.70
STU_356,83.00,73.00,6.80,73.80
STU_357,81.00,34.00,1.20,42.30
STU_358,89.00,76.00,6.30,77.20
STU_359,97.00,90.00,9.50,99.50
STU_360,90.00,70.00,6.20,72.80
STU_361,81.00,65.00,4.50,66.80
STU_362,90.00,75.00,6.80,76.40
STU_363,82.00,60.00,5.10,66.60
STU_364,84.00,66.00,5.90,67.50
STU_365,97.00,84.00,9.50,92.30
STU_366,86.00,54.00,4.50,59.10
STU_367,97.00,88.00,9.70,93.30
STU_368,94.00,93.00,9.10,99.70
STU_369,81.00,42.00,2.80,50.60
STU_370,79.00,58.00,1.60,61.10
STU_371,80.00,46.00,1.90,52.20
STU_372,78.00,42.00,1.20,46.40
STU_373,81.00,39.00,1.80,44.90
STU_374,88.00,80.00,7.10,85.50
STU_375,76.00,43.00,1.60,45.00
STU_376,81.00,54.00,3.90,62.80
STU_377,94.00,97.00,8.60,100.00
STU_378,76.00,42.00,1.20,45.00
STU_379,94.00,89.00,8.30,95.20
STU_380,80.00,49.00,3.50,56.20
STU_381,80.00,42.00,2.10,50.80
STU_382,91.00,91.00,7.30,92.10
STU_383,92.00,75.00,6.70,76.40
STU_384,96.00,93.00,8.90,100.00
STU_385,91.00,80.00,7.60,88.70
STU_386,95.00,78.00,8.20,86.00
STU_387,83.00,54.00,3.50,62.90
STU_388,84.00,57.00,2.60,59.00
STU_389,95.00,88.00,7.80,89.50
STU_390,92.00,74.00,8.30,81.60
STU_391,97.00,93.00,9.90,95.70
STU_392,89.00,58.00,4.70,65.90
STU_393,81.00,58.00,4.30,64.30
STU_394,92.00,87.00,8.00,90.70
STU_395,87.00,61.00,4.10,64.30
STU_396,88.00,88.00,9.40,89.60
STU_397,95.00,85.00,8.70,93.80
STU_398,82.00,63.00,4.90,71.40
STU_399,95.00,82.00,7.80,89.20
STU_400,96.00,85.00,7.80,91.80
STU_401,83.00,53.00,1.90,53.90
STU_402,95.00,94.00,9.10,96.70
STU_403,86.00,65.00,5.50,71.70
STU_404,90.00,81.00,8.40,81.80
STU_405,86.00,59.00,3.90,64.30
STU_406,96.00,90.00,9.10,95.50
STU_407,81.00,61.00,4.50,67.30
STU_408,73.00,30.00,1.10,38.40
STU_409,96.00,88.00,9.10,89.00
STU_410,84.00,45.00,1.80,54.40
STU_411,83.00,54.00,3.90,62.00
STU_412,97.00,93.00,9.60,100.00
STU_413,92.00,91.00,9.60,97.70
STU_414,88.00,69.00,6.20,76.60
STU_415,90.00,75.00,6.70,84.20
STU_416,87.00,63.00,5.00,66.40
STU_417,84.00,60.00,3.60,60.80
STU_418,84.00,52.00,4.00,60.50
STU_419,91.00,73.00,7.10,79.80
STU_420,90.00,80.00,7.80,84.80
STU_421,88.00,88.00,8.10,89.30
STU_422,91.00,83.00,8.10,85.80
STU_423,79.00,52.00,1.80,55.40
STU_424,81.00,63.00,5.40,67.00
STU_425,76.00,40.00,1.50,46.40
STU_426,88.00,64.00,5.90,72.40
STU_427,90.00,74.00,5.00,76.20
STU_428,97.00,93.00,9.00,94.80
STU_429,84.00,60.00,4.20,69.20
STU_430,77.00,41.00,2.10,43.60
STU_431,79.00,45.00,2.30,53.60
STU_432,89.00,88.00,7.90,91.40
STU_433,85.00,77.00,6.60,79.30
STU_434,83.00,47.00,1.90,55.10
STU_435,80.00,41.00,1.80,46.60
STU_436,91.00,82.00,7.30,90.30
STU_437,81.00,56.00,1.70,60.00
STU_438,88.00,66.99,8.40,88.30
STU_439,86.69,73.00,7.40,81.70
STU_440,82.00,50.00,1.70,55.80
STU_441,84.00,56.00,1.80,57.10
STU_442,91.00,90.00,9.90,96.80
STU_443,87.00,55.00,4.40,63.20
STU_444,87.00,58.00,4.30,63.30
STU_445,86.00,78.00,8.30,82.70
STU_446,93.00,88.00,9.50,92.30
STU_447,92.00,87.00,9.90,94.40
STU_448,92.00,82.00,7.80,82.50
STU_449,89.00,60.00,4.40,65.10
STU_450,77.00,43.00,1.80,50.30
STU_451,90.00,94.00,8.00,95.40
STU_452,82.00,69.00,6.00,70.20
STU_453,84.00,68.00,4.80,72.70
STU_454,96.00,85.00,9.20,94.00
STU_455,79.00,46.00,2.00,50.20
STU_456,86.00,70.00,5.40,74.90
STU_457,75.00,31.00,1.10,39.20
STU_458,89.00,68.00,5.20,72.20
STU_459,83.00,46.00,1.50,48.10
STU_460,77.00,44.00,2.10,53.50
STU_461,79.00,50.00,2.10,52.50
STU_462,91.00,84.00,6.80,92.40
STU_463,88.00,80.00,7.70,82.60
STU_464,91.00,68.00,6.30,74.40
STU_465,92.00,86.00,9.70,95.00
STU_466,81.00,62.00,4.40,62.50
STU_467,81.00,49.00,3.60,57.10
STU_468,95.00,94.00,8.80,98.50
STU_469,82.00,56.00,3.00,63.70
STU_470,92.00,94.00,9.70,95.30
STU_471,76.00,38.00,1.10,40.70
STU_472,93.00,98.00,9.70,100.00
STU_473,77.00,38.00,1.40,43.90
STU_474,90.00,92.00,9.00,97.00
STU_475,91.00,70.00,5.70,74.40
STU_476,95.00,90.00,9.90,91.80
STU_477,86.00,54.00,1.70,56.30
STU_478,86.00,75.00,6.00,84.20
STU_479,90.00,91.00,9.70,95.10
STU_480,85.00,62.00,5.70,71.40
STU_481,89.00,74.00,6.70,81.00
STU_482,90.00,83.00,7.30,84.90
STU_483,88.00,66.00,5.10,72.90
STU_484,96.00,87.00,6.60,89.00
STU_485,92.00,71.00,6.30,76.20
STU_486,95.00,83.00,9.10,90.40
STU_487,77.00,34.00,1.40,39.80
STU_488,82.00,51.00,3.50,56.00
STU_489,97.00,94.00,9.60,97.40
STU_490,98.00,96.00,9.00,100.00
STU_491,89.00,66.00,5.10,67.00
STU_492,88.00,78.00,6.60,80.00
STU_493,86.00,57.00,3.50,59.60
STU_494,79.00,57.00,2.70,60.70
STU_495,86.69,76.00,5.20,82.90
STU_496,80.00,55.00,4.20,61.40
STU_497,83.00,67.00,6.30,74.60
STU_498,77.00,66.99,1.70,53.80
STU_499,91.00,99.00,9.80,100.00
STU_500,93.00,94.00,9.90,100.00
STU_021,88.00,65.00,6.50,73.00
STU_151,92.00,87.00,9.20,90.70
